# -----------------------------------------------------------------------------
# TMdock - docking by full/partial structure alignment                V20160511
#										
# -----------------------------------------------------------------------------
#               Date / time : 2023:06:21 / 14:01:15
#       Number of templates : 12470
#            Alignment type : FSA
#                 Fast mode : on
#         Benchmarking mode : off
#     TMScore Normalized by : Length of the target
# -----------------------------------------------------------------------------
#
# Label                Score    TM-score1    TM-score2    FSC-score      iSeqID1      iSeqID2        dSASA         d_av       AACE18        SolEM     trgtLen1     trgtLen2    tmpltLen1    tmpltLen2      aliLen1      aliLen2         t[0]         t[1]         t[2]      u[0][0]      u[0][1]      u[0][2]      u[1][0]      u[1][1]      u[1][2]      u[2][0]      u[2][1]      u[2][2]
#
6qb3A1X1_21      3.12033e-02  7.29156e-01  3.85703e-01  2.70504e-01  5.82090e-01  1.66667e-01  2.41775e-03  3.72841e-02  2.25588e-01  5.54417e-02  2.93000e+02  7.10000e+01  2.28000e+02  1.42000e+02  2.21000e+02  5.80000e+01  1.29447e+01 -2.61274e+01 -1.66940e+01  3.96434e-01 -8.53838e-01  3.37345e-01 -6.86165e-01 -3.14441e-02  7.26766e-01 -6.09933e-01 -5.19589e-01 -5.98339e-01
3knb1A1B_21      1.68182e-02  2.85371e-01  3.09293e-01  1.90610e-01  1.66667e-01  1.35135e-01  8.99604e-01  3.14554e-01  1.86008e-07  8.66984e-01  2.93000e+02  7.10000e+01  9.60000e+01  9.80000e+01  9.30000e+01  5.60000e+01 -1.06727e+01  5.95648e+00 -5.25046e+00 -8.95662e-02 -2.19947e-01  9.71391e-01 -7.74178e-01  6.28970e-01  7.10320e-02 -6.26599e-01 -7.45667e-01 -2.26612e-01
6touG1A1_21      1.67035e-02  7.31440e-01  3.68803e-01  2.35818e-01  6.44737e-01  8.33333e-02  3.28815e-01  2.36723e-01  8.65017e-02  3.06853e-01  2.93000e+02  7.10000e+01  2.32000e+02  7.10000e+01  2.23000e+02  5.20000e+01  1.74962e+00 -9.73428e+00 -2.39470e+01  7.38244e-01  4.02636e-01 -5.41183e-01 -1.50328e-01  8.80337e-01  4.49897e-01  6.57569e-01 -2.50779e-01  7.10432e-01
6lfmD1E1_21      1.58785e-02  1.26932e-01  8.16496e-01  1.86653e-01  9.25926e-02  1.00000e+00  6.43779e-01  3.49082e-01  4.20212e-02  5.32993e-01  2.93000e+02  7.10000e+01  6.70000e+01  7.10000e+01  6.60000e+01  7.10000e+01  1.81289e+00  1.72344e+00 -1.91957e+01 -4.92324e-01 -3.12650e-01 -8.12322e-01  8.69464e-01 -1.33104e-01 -4.75726e-01  4.06123e-02 -9.40496e-01  3.37369e-01
6nfcB1K1_21      1.38124e-02  3.87478e-01  3.43204e-01  3.17164e-01  5.71429e-01  6.66667e-02  7.02068e-08  0.00000e+00  1.67520e-01  1.56600e-02  2.93000e+02  7.10000e+01  1.23000e+02  1.20000e+02  1.15000e+02  5.70000e+01  2.29025e+01 -1.13158e+01 -3.20686e+01  3.43615e-01  7.01676e-01  6.24162e-01 -4.68404e-01  7.04113e-01 -5.33688e-01 -8.13957e-01 -1.08977e-01  5.70612e-01
6vi1D1M1_12      1.38086e-02  3.81175e-01  2.00075e-01  3.75796e-01  7.33333e-01  8.69565e-02  2.76880e-06  0.00000e+00  1.56195e-01  1.63613e-02  2.93000e+02  7.10000e+01  2.14000e+02  2.30000e+01  1.38000e+02  2.30000e+01  3.52247e+00 -2.23282e+01 -2.26566e+01  8.31161e-01 -4.19038e-01  3.65483e-01  6.31801e-02  7.24223e-01  6.86665e-01 -5.52430e-01 -5.47638e-01  6.28421e-01
6pk8A1B1_12      1.21799e-02  7.34976e-01  3.57096e-01  1.69672e-01  6.81159e-01  1.14286e-01  2.99641e-01  1.56525e-01  2.36407e-03  2.45749e-01  2.93000e+02  7.10000e+01  2.25000e+02  2.25000e+02  2.20000e+02  6.80000e+01 -1.76088e+01  1.58377e+01  1.77641e+01 -5.42832e-01 -6.04708e-01  5.82806e-01  6.35006e-01  1.58631e-01  7.56045e-01 -5.49637e-01  7.80490e-01  2.97883e-01
6itqA1C1_21      1.21647e-02  3.81597e-01  3.29897e-01  2.83231e-01  6.71875e-01  6.45161e-02  7.83535e-03  3.54457e-03  1.70733e-01  3.85704e-02  2.93000e+02  7.10000e+01  1.25000e+02  1.22000e+02  1.16000e+02  6.80000e+01  1.97381e+01  8.58083e+00 -2.08034e+01  2.05889e-01  5.62998e-01 -8.00401e-01  8.48089e-01  3.05409e-01  4.32979e-01  4.88216e-01 -7.67957e-01 -4.14592e-01
6txzA1H1_21      1.18936e-02  4.25380e-01  3.09535e-01  2.13732e-01  5.77465e-01  4.16667e-02  3.15889e-02  1.99504e-02  2.65307e-01  7.37642e-02  2.93000e+02  7.10000e+01  2.19000e+02  1.09000e+02  1.84000e+02  5.50000e+01  1.10352e+01 -1.54289e+01 -1.90790e+01 -9.40879e-01 -3.10138e-01  1.36243e-01 -4.96990e-02 -2.71465e-01 -9.61164e-01  3.35078e-01 -9.11110e-01  2.40002e-01
1fbi0H0X_12      1.15145e-02  3.76729e-01  3.29047e-01  2.52809e-01  3.90244e-01  5.00000e-02  3.30422e-02  4.92787e-03  1.98439e-01  1.13831e-01  2.93000e+02  7.10000e+01  2.21000e+02  1.29000e+02  2.16000e+02  6.70000e+01  9.78384e+00 -1.88212e+01 -2.09359e+01  2.10032e-01 -3.42630e-02  9.77094e-01 -5.17959e-01  8.43717e-01  1.40924e-01 -8.29220e-01 -5.35693e-01  1.59461e-01
